{Temperature=26.3, SoundIntensity=0, Humidity=47.2, Wet=0, LightIntensity=204, timestamp=20180708T102436Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.3, Wet=0, LightIntensity=205, timestamp=20180708T102439Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.3, Wet=0, LightIntensity=201, timestamp=20180708T102443Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.3, Wet=0, LightIntensity=206, timestamp=20180708T102446Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.3, Wet=0, LightIntensity=207, timestamp=20180708T102449Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.2, Wet=0, LightIntensity=206, timestamp=20180708T102452Z}
{Temperature=26.2, SoundIntensity=0, Humidity=47.1, Wet=0, LightIntensity=202, timestamp=20180708T102455Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.2, Wet=0, LightIntensity=207, timestamp=20180708T102458Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.3, Wet=0, LightIntensity=207, timestamp=20180708T102501Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.3, Wet=0, LightIntensity=209, timestamp=20180708T102504Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.1, Wet=0, LightIntensity=206, timestamp=20180708T102508Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.1, Wet=0, LightIntensity=206, timestamp=20180708T102511Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.1, Wet=0, LightIntensity=212, timestamp=20180708T102514Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.1, Wet=0, LightIntensity=210, timestamp=20180708T102517Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.2, Wet=0, LightIntensity=207, timestamp=20180708T102520Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.2, Wet=0, LightIntensity=213, timestamp=20180708T102523Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.1, Wet=0, LightIntensity=212, timestamp=20180708T102526Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.1, Wet=0, LightIntensity=210, timestamp=20180708T102529Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.2, Wet=0, LightIntensity=210, timestamp=20180708T102532Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.2, Wet=0, LightIntensity=212, timestamp=20180708T102535Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.2, Wet=0, LightIntensity=212, timestamp=20180708T102538Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.1, Wet=0, LightIntensity=210, timestamp=20180708T102542Z}
{Temperature=26.2, SoundIntensity=0, Humidity=47.1, Wet=0, LightIntensity=204, timestamp=20180708T102545Z}
{Temperature=26.2, SoundIntensity=0, Humidity=47.1, Wet=0, LightIntensity=208, timestamp=20180708T102548Z}
{Temperature=26.2, SoundIntensity=0, Humidity=47, Wet=0, LightIntensity=210, timestamp=20180708T102551Z}
{Temperature=26.2, SoundIntensity=0, Humidity=47.1, Wet=0, LightIntensity=208, timestamp=20180708T102554Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.2, Wet=0, LightIntensity=207, timestamp=20180708T102557Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.1, Wet=0, LightIntensity=210, timestamp=20180708T102601Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.1, Wet=0, LightIntensity=207, timestamp=20180708T102604Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.1, Wet=0, LightIntensity=208, timestamp=20180708T102607Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.2, Wet=0, LightIntensity=210, timestamp=20180708T102610Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.8, Wet=0, LightIntensity=202, timestamp=20180708T102613Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.1, Wet=0, LightIntensity=208, timestamp=20180708T102616Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.1, Wet=0, LightIntensity=211, timestamp=20180708T102620Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47, Wet=0, LightIntensity=207, timestamp=20180708T102623Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.1, Wet=0, LightIntensity=212, timestamp=20180708T102626Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.1, Wet=0, LightIntensity=211, timestamp=20180708T102629Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.1, Wet=0, LightIntensity=210, timestamp=20180708T102633Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.1, Wet=0, LightIntensity=208, timestamp=20180708T102636Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.1, Wet=0, LightIntensity=207, timestamp=20180708T102639Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.1, Wet=0, LightIntensity=208, timestamp=20180708T102643Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.2, Wet=0, LightIntensity=205, timestamp=20180708T102646Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.1, Wet=0, LightIntensity=207, timestamp=20180708T102649Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.1, Wet=0, LightIntensity=207, timestamp=20180708T102652Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47, Wet=0, LightIntensity=209, timestamp=20180708T102656Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47, Wet=0, LightIntensity=207, timestamp=20180708T102659Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47, Wet=0, LightIntensity=207, timestamp=20180708T102702Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47, Wet=0, LightIntensity=207, timestamp=20180708T102705Z}
{Temperature=26.3, SoundIntensity=0, Humidity=46.9, Wet=0, LightIntensity=210, timestamp=20180708T102708Z}
{Temperature=26.3, SoundIntensity=0, Humidity=46.9, Wet=0, LightIntensity=207, timestamp=20180708T102711Z}
{Temperature=26.2, SoundIntensity=0, Humidity=46.9, Wet=0, LightIntensity=201, timestamp=20180708T102715Z}
{Temperature=26.2, SoundIntensity=0, Humidity=46.9, Wet=0, LightIntensity=207, timestamp=20180708T102718Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.1, Wet=0, LightIntensity=208, timestamp=20180708T102721Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47, Wet=0, LightIntensity=206, timestamp=20180708T102724Z}
{Temperature=26.2, SoundIntensity=0, Humidity=46.9, Wet=0, LightIntensity=209, timestamp=20180708T102727Z}
{Temperature=26.2, SoundIntensity=0, Humidity=46.9, Wet=0, LightIntensity=211, timestamp=20180708T102730Z}
{Temperature=26.3, SoundIntensity=0, Humidity=46.9, Wet=0, LightIntensity=209, timestamp=20180708T102734Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47, Wet=0, LightIntensity=208, timestamp=20180708T102737Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47, Wet=0, LightIntensity=212, timestamp=20180708T102740Z}
{Temperature=26.2, SoundIntensity=0, Humidity=46.9, Wet=0, LightIntensity=205, timestamp=20180708T102743Z}
{Temperature=26.2, SoundIntensity=0, Humidity=46.9, Wet=0, LightIntensity=207, timestamp=20180708T102746Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47, Wet=0, LightIntensity=207, timestamp=20180708T102750Z}
{Temperature=26.2, SoundIntensity=0, Humidity=46.9, Wet=0, LightIntensity=209, timestamp=20180708T102753Z}
{Temperature=26.2, SoundIntensity=0, Humidity=47, Wet=0, LightIntensity=200, timestamp=20180708T102756Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47, Wet=0, LightIntensity=206, timestamp=20180708T102759Z}
{Temperature=26.2, SoundIntensity=0, Humidity=46.9, Wet=0, LightIntensity=210, timestamp=20180708T102802Z}
{Temperature=26.2, SoundIntensity=0, Humidity=46.9, Wet=0, LightIntensity=208, timestamp=20180708T102805Z}
{Temperature=26.2, SoundIntensity=0, Humidity=46.9, Wet=0, LightIntensity=207, timestamp=20180708T102808Z}
{Temperature=26.2, SoundIntensity=0, Humidity=46.9, Wet=0, LightIntensity=207, timestamp=20180708T102811Z}
{Temperature=26.2, SoundIntensity=0, Humidity=46.9, Wet=0, LightIntensity=210, timestamp=20180708T102814Z}
